,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12600,Westminster,Entire home/apt,250,7,2,0.06,2,89
12601,Islington,Entire home/apt,97,2,1,0.03,1,0
12602,Enfield,Private room,40,1,1,0.13,1,365
12603,Westminster,Entire home/apt,90,2,24,0.68,1,352
12605,Lewisham,Entire home/apt,77,2,5,0.14,1,82
12608,Southwark,Private room,200,1,2,0.06,2,0
12609,Lambeth,Entire home/apt,90,2,4,0.12,1,0
12610,Southwark,Entire home/apt,100,10,3,0.12,1,0
12612,Wandsworth,Entire home/apt,90,3,14,0.39,1,88
12613,Hammersmith and Fulham,Entire home/apt,80,3,2,0.05,1,0
12614,Camden,Entire home/apt,70,3,32,1.04,42,353
12615,Kingston upon Thames,Entire home/apt,180,3,30,0.85,1,326
12617,Hammersmith and Fulham,Entire home/apt,150,2,5,0.15,3,72
12618,Kensington and Chelsea,Entire home/apt,299,2,24,0.65,17,340
12619,Newham,Private room,49,1,3,0.11,1,365
12620,Kensington and Chelsea,Entire home/apt,195,3,1,0.03,1,314
12622,Tower Hamlets,Entire home/apt,149,2,31,0.93,18,336
12624,Wandsworth,Private room,33,1,42,1.14,4,141
12627,Hackney,Entire home/apt,100,2,13,0.36,1,16
12629,Richmond upon Thames,Entire home/apt,105,4,4,0.11,1,9
12630,Southwark,Private room,35,2,21,0.57,3,75
12633,Hackney,Entire home/apt,80,6,5,0.14,1,0
12634,Croydon,Private room,22,1,1,0.04,1,88
12635,Westminster,Private room,65,3,124,3.35,1,35
12636,Islington,Entire home/apt,55,2,2,0.06,1,0
12638,Lambeth,Private room,79,2,48,1.31,1,25
12639,Lambeth,Entire home/apt,177,3,5,0.14,1,0
12640,Hammersmith and Fulham,Private room,30,1,4,0.11,1,0
12643,Camden,Private room,45,1,16,0.44,1,312
12647,Islington,Entire home/apt,175,2,111,3.17,1,45
12648,Hackney,Entire home/apt,65,1,8,0.22,1,0
12649,Tower Hamlets,Entire home/apt,105,5,14,0.39,1,0
12652,Hackney,Entire home/apt,85,2,7,0.96,1,53
12653,Haringey,Entire home/apt,240,2,42,1.13,1,332
12654,Southwark,Private room,40,1,1,0.03,1,0
12655,Tower Hamlets,Entire home/apt,260,2,37,1.14,1,256
12656,Southwark,Private room,35,1,9,0.25,1,0
12657,Croydon,Private room,30,2,4,0.11,1,0
12658,Westminster,Private room,70,1,2,1.67,1,89
12662,Lambeth,Private room,28,2,11,0.3,1,172
12663,Tower Hamlets,Entire home/apt,125,2,6,0.17,1,0
12664,Southwark,Private room,35,4,1,0.03,3,0
12665,Camden,Private room,55,2,74,2.01,1,64
12666,Lewisham,Entire home/apt,100,3,24,0.65,1,11
12667,Waltham Forest,Entire home/apt,70,3,11,0.33,1,271
12668,Richmond upon Thames,Private room,45,1,20,1.5,1,364
12669,Haringey,Private room,25,3,1,0.03,1,0
12672,Hammersmith and Fulham,Entire home/apt,199,3,2,0.06,1,0
12673,Hackney,Private room,39,1,1,0.03,1,0
12674,Hackney,Entire home/apt,65,2,18,1.69,1,42
12675,Brent,Private room,40,1,3,0.08,1,364
12676,Hillingdon,Private room,84,1,43,1.19,1,353
12680,Hackney,Entire home/apt,145,3,27,0.77,2,50
12682,Kingston upon Thames,Private room,59,2,87,2.36,1,271
12683,Hackney,Private room,62,1,1,0.03,1,0
12685,Waltham Forest,Entire home/apt,60,2,1,0.14,1,0
12687,Lambeth,Private room,27,1,19,0.54,19,316
12688,Newham,Entire home/apt,54,4,3,0.1,1,0
12689,Ealing,Private room,36,2,11,0.3,1,0
12691,Brent,Entire home/apt,90,1,78,2.17,2,331
12693,Westminster,Private room,49,2,16,0.44,2,14
12694,Southwark,Entire home/apt,75,10,9,0.26,1,353
12695,Wandsworth,Private room,40,5,2,0.1,7,365
12697,Tower Hamlets,Private room,50,2,1,0.64,1,173
12698,Hackney,Private room,30,7,1,0.03,1,220
12699,Tower Hamlets,Entire home/apt,172,4,2,0.17,2,278
